date,close,start,high,low,volume
2014-01-08,255.76,256.85,257.06,254.63,66.03
2014-01-07,255.98,254.53,257.02,254.41,60.98
2014-01-06,255.41,254.7,256.67,254.11,59.08
2014-01-03,254.48,257.05,257.29,253.18,62.39
2014-01-02,257.64,264.35,264.51,257.63,64
2013-12-31,264.24,263.55,264.24,262.53,55.61
2013-12-30,264.24,263.55,264.24,262.53,55.61
2013-12-27,263.32,262.47,263.79,261.54,56.68
2013-12-26,263.15,263.85,264.63,262.82,52.44
2013-12-24,263.58,263.72,264.54,262.79,62.87
2013-12-23,263.24,262.78,263.89,262.14,59.33
2013-12-20,261.27,259.85,261.55,259.78,55.38
2013-12-19,260.2,263.16,263.21,259.46,58.31
2013-12-18,259.98,259.62,261.24,258.74,56.76
2013-12-17,258.72,260.27,260.67,258.18,78.91
2013-12-16,257.9,257.7,259.07,257,46.76
2013-12-13,258.04,258.29,258.49,256.08,61.16
2013-12-12,259.05,258.95,259.46,257.7,93.73
2013-12-11,260.55,261.74,263.67,259.78,59.24
2013-12-10,262.68,263.55,263.75,262.24,56.66
2013-12-09,263.7,263.52,264.14,263.24,52.03
2013-12-06,260.71,261.04,262.17,260.54,52.76
2013-12-05,261.1,262.5,262.6,259.21,51.68
2013-12-04,261.48,263.39,264.53,261.48,54.68
2013-12-03,264.84,266.64,267.33,264.79,61.97
2013-12-02,267.58,270.48,270.84,267.35,57.62
2013-11-29,269.57,269.61,270.36,268.68,54.35
2013-11-28,269.7,268.8,270.07,268.42,62.91
2013-11-27,267.15,265.28,267.15,264.5,84.49
2013-11-26,266.26,264.02,266.26,262.78,54.06
2013-11-25,265.21,265.85,267.45,265.2,56.73
2013-11-22,263.86,263.4,264.65,261.89,56.99
2013-11-21,262.2,265.06,265.06,260.97,58.36
2013-11-20,265.62,267.23,267.43,264.69,85.76
2013-11-19,267.81,264.84,268.37,264.68,76.85
2013-11-18,265.03,265.38,265.96,264.65,58.66
